Date	ProductID	SalesRepID	Units
8/22/22	2	4	144
5/3/23	4	4	6
11/8/23	1	2	73
11/29/21	2	4	95
8/27/21	2	2	5
12/1/22	2	2	4
8/16/22	2	1	91
8/23/23	2	4	1
1/6/22	1	2	187
6/6/23	2	2	81
3/19/21	2	4	80
2/13/23	3	2	125
11/11/21	4	2	3
12/6/21	2	1	57
10/14/21	1	2	1
11/21/22	2	4	4
4/12/22	2	3	2
1/27/22	2	2	238
8/20/21	3	3	102
11/3/23	2	2	242
12/24/21	2	4	150
11/23/23	1	2	6
5/26/22	1	4	78
11/18/21	2	4	75
6/7/22	1	1	6
9/7/23	2	4	2
2/1/23	2	4	71
5/10/21	2	1	251
4/12/21	2	4	88
11/22/22	2	2	6
11/6/22	2	4	230
12/29/21	4	4	185
12/31/22	2	4	75
12/15/23	2	4	3
6/17/21	2	4	209
8/24/22	4	4	4
8/26/22	4	1	280
8/19/21	4	2	52
8/18/21	4	3	101
10/8/21	4	4	89
12/11/23	2	1	1
4/13/23	2	4	4
11/10/23	2	4	6
7/8/23	2	2	159
12/5/21	3	3	6
12/20/21	1	2	3
5/8/22	3	1	1
11/1/21	3	4	6
12/13/21	1	2	14
8/7/21	2	3	71
12/17/23	3	2	101
6/10/22	2	2	27
7/20/21	2	2	1
9/4/21	2	2	36
11/23/23	2	4	31
1/26/23	2	1	196
11/18/22	2	1	6
12/13/23	2	3	110
12/8/22	1	1	26
12/3/21	2	4	80
10/9/23	2	2	70
9/23/23	2	4	28
12/19/23	2	2	80
6/26/23	1	4	6
10/25/23	3	4	201
9/6/21	2	2	77
10/24/23	4	2	62
10/29/23	2	2	103
11/8/23	2	1	6
12/19/22	2	2	237
10/7/21	3	3	90
8/23/21	3	2	2
12/17/23	4	4	6
12/27/22	4	2	61
7/2/23	4	4	74
9/7/21	1	4	116
12/18/21	4	3	1
9/5/23	2	4	119
11/21/21	2	2	279
11/30/21	2	4	1
9/21/23	2	4	242
1/3/22	3	1	3
7/29/22	1	4	3
11/21/21	2	1	5
12/24/22	1	2	3
10/30/23	3	2	54
9/2/22	2	4	5
7/8/22	2	4	4
5/17/23	2	4	75
12/2/22	1	2	134
8/6/23	2	2	78
3/16/22	2	4	1
4/25/22	4	2	146
1/25/23	2	2	3
10/25/21	2	4	69
10/22/23	1	2	4
10/18/21	2	4	72
5/6/22	2	2	6
12/27/23	2	2	4
2/3/22	2	4	64
6/19/23	2	4	101
3/22/22	2	3	1
10/19/22	2	4	78
5/24/21	2	4	1
5/12/22	2	4	6
12/23/22	2	2	101
1/18/23	4	2	101
12/1/21	4	4	6
5/24/22	2	2	6
2/4/21	2	2	1
8/13/23	2	2	284
9/5/23	2	4	6
11/27/22	2	4	4
11/13/22	2	2	176
11/17/23	4	2	84
4/2/22	1	4	103
9/7/22	1	2	247
6/15/21	2	2	76
7/24/23	4	4	131
3/25/22	2	4	118
8/14/21	2	1	4
12/14/21	2	4	69
12/21/21	4	4	5
12/9/22	2	4	247
12/10/21	2	2	71
11/19/21	2	1	96
7/8/21	4	4	76
9/25/22	4	4	81
10/9/22	2	2	106
12/4/22	3	3	246
11/22/21	2	2	138
11/26/21	3	2	106
12/19/21	2	4	97
11/8/23	3	4	210
9/5/22	3	4	101
8/14/21	1	4	70
2/20/23	4	2	264
11/26/23	2	3	107
7/12/22	3	4	71
10/21/23	2	2	275
10/26/23	1	4	83
11/7/22	2	1	63
10/19/21	1	2	3
8/3/21	4	4	93
12/15/23	2	4	289
10/14/22	1	4	4
10/28/23	2	2	78
12/15/22	4	4	155
12/9/22	2	4	247
11/27/23	2	4	89
12/13/21	2	4	88
8/5/22	3	4	69
12/13/22	4	2	230
12/10/23	4	2	3
12/29/22	1	4	4
7/24/21	2	4	4
12/4/23	2	2	283
9/30/22	2	4	3
7/5/21	2	4	91
2/25/22	2	2	190
7/9/22	1	2	101
9/4/22	4	2	74
11/18/21	2	4	84
11/19/22	2	2	5
12/4/21	2	4	3
11/6/21	2	2	176
10/4/23	2	2	71
6/6/21	2	2	2
6/15/23	1	1	4
11/8/23	2	1	89
2/25/23	3	3	150
11/26/21	3	2	2
11/15/22	1	2	277
12/10/23	2	4	194
3/10/22	2	2	112
11/15/21	2	4	223
5/16/22	4	3	28
11/27/21	2	4	89
11/28/23	2	1	95
12/30/23	2	2	141
11/22/23	2	4	73
11/11/22	2	4	5
11/27/21	1	2	83
8/8/23	2	4	223
10/27/21	2	4	87
3/11/22	2	1	4
12/22/23	2	4	286
9/10/21	1	2	86
11/12/21	2	4	6
7/15/21	2	2	5
6/11/21	2	4	92
4/9/23	2	2	4
11/24/23	2	2	6
5/28/22	3	4	4
4/1/23	1	1	185
6/3/22	3	1	61
12/26/22	3	2	98
11/25/22	2	2	56
1/29/21	1	4	108
10/7/22	1	1	6
12/12/22	2	2	5
12/29/22	2	1	148
11/3/21	2	2	251
11/28/22	2	2	82
6/22/22	2	4	100
11/28/21	2	2	244
11/16/22	2	4	3
6/14/22	2	4	1
8/18/21	2	4	2
11/29/22	3	4	209
