Date,Course,Venue,Attendees
04/01/2017,Excel Level 1,Warwick Street,3
19/12/2017,Excel Level 2,Dover Court,8
28/06/2017,Excel Level 3,Hampton,5
06/05/2017,Excel Formulas and Functions,Surrey House,7
06/11/2017,Excel Formulas and Functions,Warwick Street,5
16/05/2017,Power BI Introduction,Dover Court,3
05/12/2017,Excel Level 2,Hampton,10
04/04/2017,Mastering DAX,Surrey House,2
05/09/2017,Excel PivotTables,Surrey House,2
09/05/2017,Excel Dashboards,Surrey House,5
17/02/2017,Excel VBA,Warwick Street,3
22/08/2017,Power Query & Power Pivot,Dover Court,7
20/05/2017,Power Query,Warwick Street,1
24/05/2017,Power Query,Dover Court,3
19/02/2017,Excel Best Practise & Tips,Surrey House,3
29/11/2017,Power Query & Power Pivot,Hampton,7
03/08/2017,Excel VBA,Surrey House,10
23/06/2017,Excel Level 1,Warwick Street,7
14/06/2017,Excel Best Practise & Tips,Dover Court,5
11/02/2017,Power BI Introduction,Surrey House,7
29/10/2017,Power Query,Hampton,5
26/05/2017,Power Query,Hampton,3
05/12/2017,Power Query,Surrey House,7
28/11/2017,Power Query,Surrey House,3
07/02/2017,Power Query,Warwick Street,5
01/12/2017,Power Query & Power Pivot,Warwick Street,3
03/12/2017,Excel Level 2,Dover Court,5
19/08/2017,Excel PivotTables,Hampton,3
22/03/2017,Excel VBA,Surrey House,5
02/06/2017,Power Query & Power Pivot,Warwick Street,5
22/05/2017,Excel VBA,Dover Court,1
21/11/2017,Power Query & Power Pivot,Hampton,2
31/05/2017,Power Query,Surrey House,3
01/07/2017,Excel Level 3,Hampton,5
17/01/2017,Excel Level 2,Warwick Street,3
26/07/2017,Power Query,Surrey House,3
12/04/2017,Power Query,Surrey House,3
22/10/2017,Excel Level 2,Dover Court,5
16/12/2017,Excel Level 1,Surrey House,7
02/10/2017,Excel Level 2,Hampton,7
28/11/2017,Excel Level 2,Dover Court,3
17/04/2017,Power Query,Surrey House,5
16/04/2017,Excel VBA,Hampton,3
27/12/2017,Power Query,Warwick Street,5
26/06/2017,Excel Level 2,Surrey House,2
26/05/2017,Excel Dashboards,Surrey House,7
15/12/2017,Power BI Introduction,Warwick Street,5
10/11/2017,Excel Level 3,Warwick Street,1
16/12/2017,Power Query & Power Pivot,Surrey House,5
